title,price,rating,oprice,brand,New_Price,New_Rating,New_Oprice
Reflex Vox Smartwatch|Alexa Built-in|Bright HD Display|Upto 10 Days Battery|5 ATM Water Resistance|Multiple Sports Modes|100+ Watchfaces|24x7 HRM|Sp02|Stress Monitor|Camera & Music Control  ,"1,994",3.9,"₹1,994",Fastrack,1994,3.9,1994
Brand A Army Shockproof Waterproof Digital Sports Black Sunglass with Black Baseball Cap Watch for Mens Kids Sports Watch with Cap for Boys - Military Army Watch for Men  ,321,3.7,₹321,SELLORIA,321,3.7,321
"DIZO Watch D2 Power (by realme TechLife) – Large 1.91"" Superlight, Single Chipset Bluetooth Calling Smartwatch with Smart Swipe, 150+Stylish Watch Faces and 10 Day Battery (Steel Grey)  ","1,799",3.7,"₹1,799",DIZO,1799,3.7,1799
Analog White Dial Men's Watch-TW000U933  ,"1,598",4.1,"₹1,598",TIMEX,1598,4.1,1598
IZU Kids Cartoon Character Waterproof Superhero Theme Waterproof Touch Button Silicone Smart Digital LED Band Bracelet Watch (Black) -Pack of 4  ,499,3.2,₹499,IZU,499,3.2,499
"Redmi Watch 2 Lite - 3.94 cm Large HD Edge Display, Multi-System Standalone GPS, Continuous SpO2, Stress & Sleep Monitoring, 24x7 HR, 5ATM, 120+ Watch Faces, 100+ Sports Modes, Women's Health, Blue  ","2,499",3.9,"₹2,499",Redmi,2499,3.9,2499
Analogue Men's Watch (Silver Dial Silver Colored Strap)  ,322,3.9,₹322,AUREX,322,3.9,322
Analog Black Dial Men's Watch-TW000U934  ,"2,160",4.2,"₹2,160",TIMEX,2160,4.2,2160
The Watch (Red Book 1)  ,446,4.5,₹446,Amanda Witt,446,4.5,446
"PTron Force X12N 1.85"" Full Touch HD Display Bluetooth Calling Smartwatch, Functional Crown, 580 NITS Brightness, HR, SpO2, Watch Faces, Inbuilt Games, 5 Days Battery Life & IP68 Waterproof (Blue)  ","1,549",3.8,"₹1,549",pTron,1549,3.8,1549
Luxury Analog Men's Watch (Black Dial Black Colored Strap)  ,649,3.6,₹649,LORENZ,649,3.6,649
Karishma Analog Black Dial Men's Watch-NM9151SM02 / NL9151SM02  ,"1,895",4.1,"₹1,895",Titan,1895,4.1,1895
Analog Multi-Colour Dial Children's Watch-NLC3030PP05/NPC3030PP05W  ,845,4.3,₹845,Zoop,845,4.3,845
"(Renewed) Fire-Boltt Ninja Call Pro Dual Chip Bluetooth Calling Smartwatch, AI Voice Assistance 1.69 HD Display, 100 Sports Modes, with SpO2 & Heart Rate Monitoring, 240*280 Pixel High Resolution  ","1,443",4.0,"₹1,443",Amazon Renewed,1443,4.0,1443
Analog-Digital Black Dial Men's Watch-NL77070PP06/NP77070PP06  ,"2,899",4.2,"₹2,899",SF,2899,4.2,2899
"PTron Newly Launched Force X11P Bluetooth Calling Smartwatch with 1.3"" Full Touch Display, Heart Rate Tracking, SpO2, 100s of Watch Faces, 5 Days Runtime, Fitness Trackers & IP68 Waterproof (Black)  ","1,299",3.4,"₹1,299",pTron,1299,3.4,1299
Digital Grey Dial Men's Watch-NL77072PP02/NP77072PP02  ,599,4.3,₹599,Sonata,599,4.3,599
Xtreme Gear Analog-Digital Grey Round Dial Men's Sport Watch-77070PP07  ,"2,899",4.1,"₹2,899",SF,2899,4.1,2899
"Smart 2 Fashion Smartwatch, 1.78” AMOLED Display with Premium Metal Body, Multiple Sports Modes with 100+ Watchfaces, Complete Health Suite with Stress Monitor, 7 Days Battery Life & 3 ATM  ","5,995",3.9,"₹5,995",Titan,5995,3.9,5995
